id,title,vote_average,release_date,runtime,original_language,overview,poster_path,genres
117263,Olympus Has Fallen,6.394,2013-03-20,120,en,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",/ei2qjTiDpgKGuoSEntPCSAIhuvQ.jpg,"Action, Thriller"
6957,The 40 Year Old Virgin,6.374,2005-08-11,116,en,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,"Comedy, Romance"
615457,Nobody,8.018,2021-03-18,92,en,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,"Action, Crime, Thriller"
114150,Pitch Perfect,7.295,2012-09-28,112,en,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",/ntRIoh8Qf1BI1AYGx0STfq0wUmb.jpg,"Comedy, Music, Romance"
82700,After Earth,5.191,2013-05-30,100,en,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",/iXMvYIlzzJBs352CfeiQcBvovZt.jpg,"Science Fiction, Action, Adventure"
398978,The Irishman,7.615,2019-11-01,209,en,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,"Crime, Drama, History"
82675,Taken 2,6.3,2012-09-27,91,en,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",/yzAlcuJhpnxRPjaj7AHBRbNPQCJ.jpg,"Action, Crime, Thriller"
37686,Super 8,6.76,2011-06-08,112,en,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",/sytFL6ALMAesKZoarlp7bIDKnns.jpg,"Thriller, Science Fiction, Mystery"
257211,The Intern,7.205,2015-09-23,121,en,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",/9UoAC9tu8kIyRy8AcJnGhnH0gOH.jpg,Comedy
334543,Lion,8.083,2016-11-24,118,en,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg,Drama
2668,Sleepy Hollow,7.169,1999-11-19,105,en,New York detective Ichabod Crane is sent to Sleepy Hollow to investigate a series of mysterious deaths in which the victims are found beheaded. Locals believe the culprit to be none other than the legendary Headless Horseman.,/1GuK965FLJxqUw9fd1pmvjbFAlv.jpg,"Drama, Fantasy, Thriller, Mystery, Horror"
46195,Rio,6.719,2011-04-03,96,en,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",/BSZ2dA3G369e3pHIXGhh5orzPt.jpg,"Animation, Adventure, Comedy, Family"
18240,The Proposal,7.13,2009-06-01,108,en,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",/aEqtJDj8MvSDQwzggvcOfFTZMw.jpg,"Comedy, Romance, Drama"
956,Mission: Impossible III,6.722,2006-04-25,126,en,"Retired from active duty, and training recruits for the Impossible Mission Force, agent Ethan Hunt faces the toughest foe of his career: Owen Davian, an international broker of arms and information, who is as cunning as he is ruthless. Davian emerges to threaten Hunt and all that he holds dear -- including the woman Hunt loves.",/3VianLpu8hhmq4TTItKPaCtA5su.jpg,"Adventure, Action, Thriller"
530385,Midsommar,7.162,2019-07-03,147,en,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",/7LEI8ulZzO5gy9Ww2NVCrKmHeDZ.jpg,"Horror, Drama, Mystery"
4232,Scream,7.4,1996-12-20,112,en,"A year after the murder of her mother, Sidney Prescott is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",/aXAByjBN8UhaYvotqRCwa5MsMGu.jpg,"Crime, Horror, Mystery"
419704,Ad Astra,6.1,2019-09-17,123,en,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,"Science Fiction, Drama"
